# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
she me 	什麼	c=23 d=0.233116 t=6133
she pin 	射頻	c=1 d=0.559898 t=6133
she qu 	社區	c=1 d=1 t=5464
she xiang tou 	攝像頭	c=1 d=1 t=2623
she zhi 	設置	c=1 d=1 t=3659
shei 	誰	c=4 d=0.371577 t=6133
shen 	神	c=0 d=0.1 t=2548
shen bian 	身邊	c=1 d=1 t=4759
shen bian ren 	身邊人	c=1 d=1 t=4357
shen he 	審覈	c=1 d=1 t=2565
shen me 	什麼	c=1 d=1 t=4408
shen qi 	神奇	c=1 d=0.0026852 t=6133
shen qing 	申請	c=2 d=1.00051 t=5612
shen qu 	神曲	c=2 d=0.769634 t=6133
shen ti 	身體	c=2 d=0.00375539 t=6133
shen zao 	深造	c=1 d=0.433874 t=6133
sheng 	省	c=0 d=0.0814647 t=6133
sheng chan 	生產	c=0 d=0.00102549 t=6133
sheng chan huan jing 	生產環境	c=1 d=0.0103063 t=6133
sheng cheng 	生成	c=0 d=0.1 t=3623
sheng gong si 	省公司	c=2 d=1.69245 t=6133
sheng huo 	生活	c=1 d=1 t=4344
sheng jing 	生境	c=2 d=1.37823 t=6133
sheng jing jian ce 	生境檢測	c=1 d=1 t=2378
sheng li 	勝利	c=0 d=0.000527381 t=6133
sheng li 	生理	c=1 d=0.00532683 t=6133
sheng li fang mian 	勝利方面	c=1 d=0.00530027 t=6133
sheng ming 	生命	c=0 d=0.1 t=1914
sheng yu 	剩餘	c=1 d=0.160912 t=6133
sheng yu 	生育	c=1 d=0.00267181 t=6133
sheng yu gong zuo liang 	剩餘工作量	c=1 d=0.0290133 t=6133
shi 	事	c=1 d=1 t=3231
shi 	室	c=2 d=0.00597287 t=6133
shi 	師	c=0 d=0.1 t=3132
shi 	是	c=105 d=6.94192 t=6133
shi 	溼	c=0 d=0.1 t=3533
shi 	視	c=1 d=1 t=2491
shi ba 	十八	c=1 d=0.307279 t=6133
shi bu shi 	是不是	c=5 d=0.0820848 t=6133
shi cha 	時差	c=1 d=0.431711 t=6133
shi cha 	視察	c=2 d=0.429557 t=6133
shi er 	事兒	c=1 d=1 t=6012
shi gong 	施工	c=2 d=0.0399551 t=6133
shi gong dan wei 	施工單位	c=3 d=2.69388 t=5519
shi gong fang 	施工方	c=3 d=0.276651 t=6133
shi gong tu 	施工圖	c=1 d=1 t=5548
shi hou 	事後	c=0 d=0.0843665 t=6133
shi hou 	時候	c=14 d=1.3496 t=6133
shi hou ping jia 	事後評價	c=1 d=0.847894 t=6133
shi jian 	事件	c=2 d=0.798516 t=6133
shi jian 	時間	c=6 d=0.414783 t=6133
shi jian shang bao 	時間上報	c=1 d=0.794534 t=6133
shi jie 	師姐	c=1 d=1 t=5732
shi jie shang 	世界上	c=1 d=1 t=1956
shi jin 	溼巾	c=3 d=2.96531 t=3462
shi jing 	詩經	c=1 d=0.355226 t=6133
shi ma 	是嗎	c=1 d=0.0120342 t=6133
shi mi 	十米	c=0 d=0.1 t=1971
shi mi tai 	十米臺	c=1 d=1 t=1972
shi nan 	市南	c=1 d=0.172045 t=6133
shi pei qi 	適配器	c=1 d=0.13332 t=6133
shi pin 	視頻	c=15 d=0.0991128 t=6133
shi pin fen xi 	視頻分析	c=1 d=0.591555 t=6133
shi pin jian kong 	視頻監控	c=7 d=3.70264 t=2608
shi pin jian kong xi tong 	視頻監控系統	c=2 d=0.404542 t=6133
shi pin jian kong zi xi tong 	視頻監控子系統	c=1 d=1 t=2440
shi pin lu xiang 	視頻錄像	c=1 d=0.585669 t=6133
shi qing 	事情	c=2 d=1.01708 t=2774
shi shi 	實施	c=2 d=0.00790706 t=6133
shi shi 	試試	c=3 d=1.71679 t=6127
shi tang 	食堂	c=0 d=0.1 t=5412
shi wu 	食物	c=1 d=1 t=4857
shi xiang 	事項	c=1 d=0.19593 t=6133
shi yan 	實驗	c=1 d=0.00436944 t=6133
shi yan shi 	實驗室	c=2 d=0.0181028 t=6133
shi yi 	事宜	c=2 d=1.80654 t=5911
shi yi 	十一	c=1 d=1 t=2030
shi yi fu 	溼衣服	c=1 d=1 t=3534
shi yin wei 	是因爲	c=1 d=1 t=3498
shi yong 	使用	c=1 d=1 t=3632
shi zai 	實在	c=1 d=1 t=1870
shi zai xia 	是在下	c=1 d=1 t=2210
shi zhong 	時鐘	c=1 d=1 t=2955
shou bu dao 	收不到	c=1 d=0.0229371 t=6133
shou bu liao 	受不了	c=1 d=1 t=3684
shou dao 	收到	c=11 d=0.652128 t=6133
shou fu 	首付	c=0 d=0.1 t=3663
shou ji 	手機	c=4 d=1.97723 t=5459
shou li 	手裏	c=1 d=1 t=2209
shou quan 	授權	c=5 d=0.684196 t=6133
shou zhang 	首長	c=1 d=1 t=5427
shu 	書	c=1 d=1 t=5970
shu 	熟	c=1 d=1 t=4048
shu biao 	鼠標	c=1 d=0.133989 t=6133
shu chu 	輸出	c=4 d=0.647265 t=6133
shu jia 	暑假	c=1 d=1 t=4000
shu ju 	數據	c=3 d=0.0682212 t=6133
shu ju cai ji 	數據採集	c=1 d=1 t=2628
shu ju fen xi 	數據分析	c=1 d=1 t=2629
shu ju hui fang 	數據回放	c=1 d=1 t=2631
shu ju jiao hu 	數據交互	c=1 d=0.0822835 t=6133
shu ju jiao hu ping tai 	數據交互平臺	c=2 d=1.94649 t=6106
shu ju ku 	數據庫	c=1 d=1 t=2329
shu le 	輸了	c=1 d=1 t=2211
shu li 	梳理	c=9 d=1.00047 t=6133
shu liang 	數量	c=1 d=1 t=3644
shu ren 	熟人	c=1 d=1 t=4323
shu ru 	輸入	c=0 d=0.100142 t=3883
shu shu 	叔叔	c=1 d=1 t=2843
shu yu 	屬於	c=1 d=0.00301245 t=6133
shu zi 	數字	c=1 d=0.340508 t=2684
shu zi guang bo 	數字廣播	c=1 d=1 t=2685
shuai 	帥	c=3 d=1.67882 t=3923
shuai 	摔	c=3 d=1.8571 t=3847
shuai 	甩	c=1 d=1 t=4969
shuai qi 	帥氣	c=0 d=0.1 t=1994
shuang 	爽	c=0 d=0.100622 t=4978
shuang 	雙	c=1 d=1 t=4980
shuang fang 	雙方	c=1 d=1 t=5536
shuang ma wei 	爽馬尾	c=1 d=1 t=4979
shuang shi 	雙十	c=0 d=0.0332871 t=6133
shuang shi yi 	雙十一	c=1 d=0.33454 t=6133
shuang yu 	雙魚	c=1 d=1 t=5038
shuang yu zuo 	雙魚座	c=1 d=1 t=5031
shui 	水	c=1 d=0.117422 t=3810
shui bu zhao 	睡不着	c=1 d=1 t=2048
shui jiao 	睡覺	c=6 d=0.0333926 t=6133
shui jiao qian 	睡覺前	c=1 d=0.216536 t=6133
shui le 	睡了	c=0 d=0.1 t=1900
shui le shui le 	睡了睡了	c=1 d=1 t=1901
shui qi lai 	睡起來	c=1 d=1 t=3135
shun bian 	順便	c=1 d=0.070299 t=6133
shuo 	說	c=29 d=2.71723 t=6133
shuo chu lai 	說出來	c=1 d=1 t=2233
shuo ci 	說辭	c=1 d=1 t=5018
shuo guo 	說過	c=5 d=1.00062 t=5919
shuo kai 	說開	c=1 d=1 t=5756
shuo ming 	說明	c=1 d=1 t=4595
shuo shi 	說是	c=1 d=1 t=2978
shuo shi hua 	說實話	c=1 d=0.0169075 t=6133
shuo shuo 	說說	c=1 d=0.0471228 t=6133
shuo yi sheng 	說一聲	c=1 d=1 t=6002
shuo zhen hua 	說真話	c=1 d=1 t=4883
si 	四	c=2 d=1.18452 t=5821
si 	撕	c=1 d=1 t=3318
si 	死	c=1 d=1 t=5824
si chu 	四處	c=1 d=0.0587184 t=6133
si ge 	四個	c=1 d=1 t=3702
si hu 	似乎	c=2 d=0.00757037 t=6133
si le 	死了	c=0 d=0.0995012 t=6133
si qiu 	死囚	c=0 d=0.1 t=3350
si ren 	私人	c=1 d=1 t=5428
si si 	斯斯	c=3 d=2.67749 t=5825
si xia lai 	撕下來	c=1 d=1 t=2151
song 	宋	c=1 d=1 t=5584
song 	送	c=0 d=0.1 t=3044
song ge 	宋哥	c=1 d=0.282239 t=6133
sou gou 	搜狗	c=1 d=0.955997 t=6133
sou sou 	搜搜	c=1 d=1 t=4542
sou suo 	搜索	c=1 d=0.144424 t=6133
su 	蘇	c=1 d=0.163654 t=6133
su cai 	素材	c=1 d=1 t=2078
su dong 	速凍	c=1 d=0.26982 t=6133
su hong chao 	蘇洪朝	c=1 d=0.603506 t=6133
su she 	宿舍	c=1 d=0.752014 t=6133
su zhou 	蘇州	c=1 d=1 t=3753
suan 	算	c=5 d=0.106761 t=6133
suan ming 	算命	c=1 d=1 t=5347
suan ren 	算人	c=1 d=1 t=4413
sui 	歲	c=1 d=1 t=5369
sui bian 	隨便	c=2 d=1.0002 t=4934
sui hao 	雖好	c=1 d=1 t=4276
sui ran 	雖然	c=3 d=1.44068 t=4858
sui shen 	隨身	c=0 d=0.0562705 t=6133
sui shen wu pin 	隨身物品	c=1 d=0.565525 t=6133
sun hai 	損害	c=3 d=0.377978 t=6133
sun li 	孫儷	c=1 d=0.00729911 t=6133
suo 	鎖	c=1 d=0.129748 t=3894
suo gu 	鎖骨	c=1 d=1 t=1909
suo jin 	縮進	c=1 d=0.299692 t=6133
suo ran wu wei 	索然無味	c=1 d=1 t=4378
suo xu yao 	所需要	c=1 d=1 t=5503
suo yi 	所以	c=5 d=0.376351 t=6133
suo yin 	索引	c=1 d=1 t=4546
suo ying xiang 	鎖影響	c=1 d=1 t=3895
suo you wen jian 	所有文件	c=1 d=1 t=3037
ta 	他	c=14 d=3.89615 t=6133
ta 	她	c=6 d=0.57603 t=6133
ta men 	他們	c=3 d=0.996362 t=6133
ta men 	她們	c=5 d=1.12877 t=6133
tai 	太	c=4 d=0.525494 t=5209
tai 	臺	c=0 d=0.1 t=1971
tai bang 	太棒	c=1 d=0.0884781 t=6133
tai bang 	臺磅	c=1 d=0.0880368 t=6133
tai bu 	太不	c=0 d=0.199501 t=3963
tai bu shuang 	太不爽	c=1 d=1 t=3963
tai bu tong kuai 	太不痛快	c=1 d=1 t=3964
tai duo 	太多	c=1 d=1 t=1880
tai feng 	颱風	c=1 d=1 t=3499
tai feng yan 	颱風眼	c=1 d=1.07945 t=3524
tai ke xi 	太可惜	c=1 d=1 t=4108
tai mang 	太忙	c=1 d=1 t=5165
tai mo hu 	太模糊	c=1 d=1 t=1937
tai tong 	太痛	c=1 d=1 t=4105
tai xi yin ren 	太吸引人	c=2 d=1.93239 t=5224
tai yuan 	太原	c=1 d=0.774916 t=6133
tai yuan 	太遠	c=0 d=0.1 t=5230
tai yuan la 	太遠啦	c=1 d=1 t=5231
tan 	攤	c=1 d=1 t=5678
tan 	貪	c=1 d=1 t=4279
tan ce 	探測	c=3 d=0.665709 t=6133
tan shou 	探手	c=2 d=1.00219 t=5677
tang 	趟	c=2 d=0.0713614 t=6133
tang san 	唐三	c=1 d=0.147342 t=6133
tang xia 	躺下	c=1 d=1 t=2003
tao 	逃	c=2 d=0.585669 t=6133
tao bao 	淘寶	c=1 d=1 t=2960
tao lun 	討論	c=1 d=0.00231117 t=6133
tao ren 	討人	c=0 d=0.1 t=5204
te bie 	特別	c=2 d=0.251761 t=6133
te ding 	特定	c=1 d=1 t=4747
te mao 	特貓	c=3 d=0.229925 t=6133
te me 	特麼	c=1 d=1 t=5189
teng xun 	騰訊	c=1 d=1 t=2027
ti 	提	c=1 d=1 t=3938
ti chu 	提出	c=1 d=1 t=5838
ti chu lai 	提出來	c=1 d=0.271173 t=6133
ti jiao 	提交	c=5 d=2.03012 t=3883
ti yan 	體驗	c=1 d=1 t=5879
ti zhi 	體制	c=1 d=0.343008 t=6133
tian 	天	c=1 d=0.0278037 t=6133
tian jia 	添加	c=8 d=2.42611 t=6133
tian jin 	天津	c=7 d=1.02592 t=5691
tian jin cai 	天津菜	c=1 d=1 t=4651
tian kong 	天空	c=1 d=1 t=5105
tian qi 	天氣	c=2 d=0.535261 t=6133
tian xie 	填寫	c=1 d=1 t=4241
tian xin da 	天信達	c=2 d=0.279431 t=6133
tian yi tian 	舔一舔	c=1 d=1 t=3957
tian yu 	天昱	c=1 d=1 t=2968
tiao jian 	條件	c=0 d=0.00357932 t=6133
tiao mu 	條目	c=1 d=1 t=3641
tiao shi 	挑食	c=1 d=1 t=4700
tiao shi 	調試	c=5 d=0.0619207 t=6133
tie 	貼	c=1 d=1 t=3544
ting 	挺	c=1 d=1 t=5204
ting 	聽	c=1 d=1 t=4723
ting can 	挺慘	c=1 d=1 t=4341
ting da 	挺大	c=1 d=0.29523 t=6133
ting hao 	挺好	c=4 d=0.724558 t=6133
ting kuai 	挺快	c=1 d=0.0136366 t=6133
ting mang 	挺忙	c=1 d=1 t=5227
ting shuo 	聽說	c=1 d=1 t=3485
tong 	通	c=1 d=1 t=5051
tong dao 	通道	c=0 d=0.1 t=2598
tong dao kou 	通道口	c=1 d=1 t=2599
tong ji 	統計	c=3 d=1 t=5867
tong ji bao biao 	統計報表	c=1 d=1 t=2630
tong ji fen xi 	統計分析	c=2 d=1.17552 t=2733
tong jie 	同屆	c=1 d=1 t=4996
tong kuai 	痛快	c=0 d=0.1 t=3963
tong lei 	同類	c=1 d=1 t=5082
tong shi 	同事	c=2 d=0.151072 t=6133
tong shi 	同時	c=1 d=0.0389687 t=6133
tong xie 	同寫	c=1 d=0.346456 t=6133
tong xin 	通信	c=0 d=0.100075 t=5860
tong xin ping tai 	通信平臺	c=1 d=1 t=5861
tong xue 	同學	c=1 d=1 t=4725
tong yang 	痛癢	c=1 d=1 t=6042
tong yi 	同意	c=1 d=1 t=2093
tong yi 	統一	c=1 d=1.00008 t=5860
tong yi tong xin ping tai 	統一通信平臺	c=1 d=1 t=4422
tong zhi 	通知	c=7 d=0.809484 t=5989
tou 	頭	c=1 d=1 t=3327
tou xiang 	頭像	c=1 d=1 t=1845
tu 	圖	c=4 d=1.00005 t=5523
tu jian 	土建	c=1 d=1 t=5495
tu zhi 	圖紙	c=2 d=1.88692 t=5524
tuan 	團	c=1 d=0.109153 t=6133
tui 	腿	c=0 d=0.0298197 t=6133
tui duan 	推斷	c=1 d=0.831104 t=6133
tui huo 	退貨	c=2 d=1.97045 t=4598
tui jian 	推薦	c=2 d=0.570158 t=6133
tui jin 	推進	c=2 d=0.874837 t=6133
tui song 	推送	c=3 d=2.86028 t=3877
tui te 	推特	c=1 d=1 t=3473
tun 	臀	c=1 d=0.251579 t=6133
tuo jiu 	脫臼	c=1 d=1 t=3851
tuo xie 	拖鞋	c=1 d=0.348192 t=6133
wai hao 	外號	c=1 d=1 t=4962
wan 	玩	c=5 d=0.177284 t=6133
wan 	萬	c=2 d=0.254107 t=6133
wan bi 	完畢	c=1 d=0.00301974 t=6133
wan cheng 	完成	c=2 d=1.00111 t=4234
wan cheng qing kuang 	完成情況	c=6 d=0.0917843 t=6133
wan guo 	玩過	c=1 d=1.09753 t=3690
wan hou 	完後	c=0 d=0.026054 t=6133
wan mei 	完美	c=5 d=1.14609 t=5361
wan shang 	晚上	c=3 d=0.622027 t=6133
wan xiao 	玩笑	c=0 d=0.1 t=4564
wan yi dian 	晚一點	c=1 d=1 t=2797
wan yi er 	玩意兒	c=1 d=1 t=4861
wan za 	腕雜	c=1 d=1 t=4720
wan zi 	丸子	c=1 d=1 t=4294
wang 	汪	c=2 d=0.0415856 t=6133
wang 	王	c=1 d=0.100151 t=3657
wang gong 	汪工	c=2 d=0.0417941 t=6133
wang ji 	忘記	c=1 d=1 t=4553
wang jin 	往進	c=1 d=0.0437176 t=6133
wang luo 	網絡	c=5 d=0.121846 t=6133
wang luo an quan 	網絡安全	c=0 d=0.0650509 t=6133
wang luo an quan xin xi 	網絡安全信息	c=1 d=0.65377 t=6133
wang luo xin xi 	網絡信息	c=1 d=0.99005 t=6133
wang pan 	網盤	c=2 d=1.80252 t=4221
wang shang 	往上	c=2 d=0.0760225 t=6133
wang shang 	網上	c=2 d=1.2183 t=2671
wang shang ban zheng 	網上辦證	c=1 d=1 t=2597
wang wang 	往往	c=1 d=1 t=1963
wang ye 	網頁	c=2 d=1.00109 t=4471
wang zhan 	網站	c=2 d=0.946485 t=6133
wang zhi 	網址	c=1 d=1 t=2964
wei 	位	c=2 d=1.89583 t=5556
wei 	喂	c=2 d=1 t=5773
wei 	未	c=1 d=0.756018 t=6133
wei 	爲	c=1 d=1 t=3427
wei dao huo 	未到貨	c=1 d=0.690734 t=6133
wei du 	維度	c=1 d=1 t=2258
wei er 	味兒	c=2 d=0.0174224 t=6133
wei gu 	尾骨	c=1 d=1 t=3683
wei he 	爲何	c=2 d=0.00449404 t=6133
wei jie 	圍界	c=1 d=1 t=2434
wei lai 	未來	c=2 d=0.573018 t=6133
wei ni 	餵你	c=1 d=1 t=3779
wei sha 	爲啥	c=1 d=1 t=5424
wei shen me 	爲什麼	c=6 d=0.349938 t=6133
wei sui 	尾隨	c=0 d=0.0591555 t=6133
wei xin 	微信	c=3 d=0.91116 t=6133
wei zhi 	未知	c=1 d=0.358796 t=6133
wen 	吻	c=1 d=1 t=5418
wen 	問	c=3 d=1.0105 t=5419
wen 	聞	c=1 d=0.0178634 t=6133
wen ben 	文本	c=1 d=0.97531 t=6133
wen ding 	穩定	c=1 d=1 t=5135
wen du 	溫度	c=2 d=1 t=5852
wen guo 	問過	c=1 d=1 t=5976
wen hua 	文化	c=0 d=0.0453845 t=6133
wen jian 	文件	c=15 d=0.67368 t=6133
wen shui 	文水	c=4 d=0.33454 t=6133
wen ti 	問題	c=9 d=0.298005 t=6133
wen wen 	問問	c=4 d=0.343357 t=6133
wo 	我	c=216 d=11.1715 t=6133
wo ba 	我爸	c=1 d=1 t=4168
wo cao 	臥草	c=2 d=0.856415 t=6133
wo hu cang long 	臥虎藏龍	c=1 d=1 t=4368
wo jia 	我家	c=1 d=1 t=5362
wo le 	我了	c=0 d=0.0965605 t=6133
wo men 	我們	c=3 d=0.12538 t=6133
wo nan ti 	我難題	c=1 d=0.265803 t=6133
wo pu 	臥鋪	c=3 d=2.88825 t=5089
wo zai 	握在	c=1 d=1 t=2208
wu 	午	c=1 d=1 t=5146
wu 	唔	c=1 d=1 t=2118
wu 	無	c=6 d=4.24437 t=2792
wu 	物	c=1 d=0.640824 t=6133
wu fa 	無法	c=2 d=1.07847 t=5528
wu hua 	五花	c=1 d=1 t=3948
wu hua rou 	五花肉	c=2 d=1.67706 t=4023
wu ji bi fan 	物極必反	c=1 d=1 t=5009
wu jie 	誤解	c=2 d=1.00002 t=4091
wu li 	屋裏	c=1 d=0.346456 t=6133
wu lian 	捂臉	c=1 d=1 t=3364
wu lun 	無論	c=1 d=1 t=2231
wu pin 	物品	c=0 d=0.0562705 t=6133
wu qu 	無趣	c=1 d=1 t=5265
wu shui 	污水	c=1 d=1 t=2907
wu suo wei 	無所謂	c=3 d=0.104076 t=6133
wu tai shan 	五臺山	c=2 d=0.0717191 t=6133
wu yi yi 	無意義	c=1 d=1 t=3653
xi ban ya 	西班牙	c=3 d=1.30488 t=6133
xi fa 	洗髮	c=1 d=0.268474 t=6133
xi gua 	西瓜	c=4 d=2.9054 t=5832
xi guan 	習慣	c=1 d=1 t=5332
xi hai zao 	洗海澡	c=1 d=0.559898 t=6133
xi hong shi 	西紅柿	c=0 d=0.1 t=3663
xi hong shi chao ji dan 	西紅柿炒雞蛋	c=1 d=1 t=4033
xi hong shi shou fu 	西紅柿首付	c=1 d=1 t=3664
xi huan 	喜歡	c=12 d=1.0064 t=6133
xi lie 	系列	c=2 d=0.239464 t=6133
xi mao 	吸貓	c=1 d=0.960789 t=6133
xi nan 	西南	c=1 d=0.878801 t=5549
xi nan yuan 	西南院	c=1 d=1 t=5550
xi ou 	西歐	c=0 d=0.00161635 t=6133
xi ou ta na ge 	西歐她那個	c=2 d=0.0162445 t=6133
xi tong 	系統	c=44 d=2.2605 t=6133
xi tong bu shu 	系統部署	c=1 d=0.0163259 t=6133
xi tong guan li 	系統管理	c=6 d=3.2792 t=2735
xi tong ke yong xing 	系統可用性	c=1 d=0.0113902 t=6133
xi yao 	西藥	c=1 d=0.00371641 t=6133
xi yi 	洗衣	c=0 d=0.000386806 t=6133
xi yi 	西醫	c=1 d=0.913931 t=6133
xi yi ye 	洗衣液	c=1 d=0.00388745 t=6133
xi yin ren 	吸引人	c=0 d=0.1 t=5209
xia 	下	c=4 d=0.131337 t=6133
xia 	嚇	c=2 d=0.472367 t=6133
xia ban 	下班	c=2 d=0.697955 t=6133
xia ban nian 	下半年	c=2 d=0.0224104 t=6133
xia ban qian 	下班前	c=1 d=0.047835 t=6133
xia bei zi 	下輩子	c=1 d=1 t=1978
xia chang 	下場	c=1 d=1 t=3560
xia che 	下車	c=1 d=0.869358 t=6133
xia fei ji 	下飛機	c=1 d=1 t=4708
xia ge yue 	下個月	c=1 d=0.0531308 t=6133
xia ke 	下課	c=3 d=2.27889 t=6133
xia mi 	蝦米	c=1 d=1 t=3660
xia qu 	下去	c=1 d=1 t=2168
xia shou 	下手	c=2 d=1.84366 t=4358
xia tian 	夏天	c=2 d=0.279431 t=6133
xia wu 	下午	c=1 d=0.392586 t=6133
xia yi 	下一	c=0 d=0.1 t=4776
xia yi bu 	下一步	c=1 d=0.0294042 t=6133
xia yi bu gong zuo 	下一步工作	c=3 d=0.084279 t=6133
xia yi bu gong zuo jian yi 	下一步工作建議	c=1 d=0.0298969 t=6133
xia yi dun 	下一頓	c=1 d=1 t=4777
xia zai 	下載	c=5 d=1.80927 t=6133
xia zhou yi 	下週一	c=2 d=0.408873 t=6133
xian 	先	c=3 d=0.112417 t=6133
xian 	線	c=0 d=0.1 t=5024
xian 	顯	c=1 d=0.377192 t=6133
xian 	鹹	c=1 d=1 t=4788
xian chang 	現場	c=4 d=0.763248 t=6133
xian er 	餡兒	c=1 d=1 t=4052
xian jing 	陷阱	c=1 d=1 t=1841
xian mu 	羨慕	c=1 d=1 t=2867
xian ru jin 	現如今	c=2 d=0.00522133 t=6133
xian shi 	顯示	c=8 d=1.40233 t=6133
xian yu 	閒魚	c=1 d=1 t=3201
xian zai 	現在	c=9 d=0.339596 t=6133
xian zhi 	限制	c=0 d=0.1 t=2553
xian zhi mian 	限制麪	c=1 d=1 t=2554
xian zhi mian 	顯直面	c=1 d=1 t=2553
xiang 	像	c=2 d=1.44486 t=2220
xiang 	向	c=2 d=1.00083 t=3968
xiang 	想	c=6 d=0.0175548 t=6133
xiang 	相	c=2 d=1.16621 t=6133
xiang 	項	c=0 d=0.1 t=3620
xiang bu dao 	想不到	c=0 d=0.1 t=4354
xiang bu kai 	想不開	c=2 d=1.98511 t=5121
xiang dang nian 	想當年	c=1 d=1 t=5634
xiang dui 	相對	c=2 d=0.0052475 t=6133
xiang hui jia 	想回家	c=1 d=0.0699484 t=6133
xiang ji 	相機	c=1 d=0.839457 t=6133
xiang mu 	項目	c=1 d=0.190139 t=6133
xiang qu 	想去	c=1 d=0.869358 t=6133
xiang rang 	想讓	c=1 d=1 t=5807
xiang shou 	享受	c=1 d=1 t=4307
xiang si 	相似	c=1 d=0.245367 t=6133
xiang xiang 	想想	c=3 d=1.09929 t=5649
xiang zhao 	想找	c=1 d=1 t=3234
xiao 	小	c=0 d=0.0726149 t=6133
xiao cheng xu 	小程序	c=1 d=1 t=6128
xiao de 	曉得	c=1 d=1 t=1988
xiao fang 	消防	c=1 d=0.0414783 t=6133
xiao fang lian dong 	消防聯動	c=2 d=0.416862 t=6133
xiao ge 	瀟哥	c=1 d=0.516851 t=6133
xiao guai shou 	小怪獸	c=1 d=1 t=4590
xiao ji fang 	小機房	c=1 d=0.729789 t=6133
xiao jia zi qi 	小家子氣	c=1 d=1 t=5160
xiao jie jie 	小姊姊	c=1 d=0.0925505 t=6133
xiao ju chang 	小劇場	c=1 d=1 t=1902
xiao ke ai 	小可愛	c=5 d=1.97559 t=5280
xiao lun che 	小輪車	c=1 d=1 t=3692
xiao san 	小三	c=1 d=1 t=4390
xiao shi 	小時	c=2 d=0.427415 t=6133
xiao shou 	小手	c=0 d=0.0128735 t=6133
xiao shou wang luo 	銷售網絡	c=1 d=1 t=6133
xiao si 	笑死	c=0 d=0.0965605 t=6133
xiao si wo le 	笑死我了	c=2 d=0.970446 t=6133
xiao xi 	消息	c=1 d=0.0227089 t=6133
xiao zhi 	小隻	c=1 d=1 t=4947
xiao zhong 	小衆	c=0 d=0.1 t=3339
xiao zhong yin yue 	小衆音樂	c=1 d=1 t=3340
xie 	些	c=1 d=1 t=3221
xie 	寫	c=2 d=0.136014 t=6133
xie 	鞋	c=1 d=0.369723 t=6133
xie tong 	協同	c=3 d=1 t=6099
xie xie 	謝謝	c=8 d=0.785755 t=6133
xin 	信	c=2 d=0.00388046 t=6133
xin 	新	c=0 d=0.1 t=4996
xin bu xin 	信不信	c=1 d=0.00318278 t=6133
xin cheng ze ling 	心誠則靈	c=1 d=1 t=5408
xin da 	信達	c=0 d=0.0278037 t=6133
xin ge 	昕哥	c=2 d=0.0328764 t=6133
xin ku 	辛苦	c=1 d=1 t=2073
xin li 	心裏	c=2 d=1.0001 t=5676
xin qun ming 	新羣名	c=1 d=1 t=3791
xin ren 	新人	c=2 d=0.275271 t=6133
xin tong shi 	新同事	c=1 d=1 t=4997
xin xi 	信息	c=3 d=0.275416 t=6133
xin xi gong cheng bu 	信息工程部	c=7 d=0.729837 t=6133
xin yuan gong 	新員工	c=1 d=1 t=4960
xing 	星	c=1 d=1 t=5253
xing 	興	c=2 d=0.261846 t=6133
xing 	行	c=1 d=1 t=2076
xing bu xing 	行不行	c=1 d=1 t=5961
xing ge 	性格	c=1 d=1 t=5202
xing hao 	型號	c=2 d=0.0325493 t=6133
xing he 	星河	c=0 d=0.1 t=4385
xing le 	醒了	c=1 d=0.282239 t=6133
xing nu 	性奴	c=1 d=0.327915 t=6133
xing qu 	興趣	c=2 d=0.00477504 t=6133
xing wei 	行爲	c=1 d=1 t=3594
xing xing 	星星	c=0 d=0.1 t=4091
xing xing yan 	星星眼	c=1 d=1 t=4092
xing yun 	幸運	c=1 d=1 t=5300
xiong di 	兄弟	c=1 d=0.100801 t=5801
xiong mu xing li 	熊木杏里	c=1 d=1 t=3657
xiu 	修	c=2 d=1.31573 t=6133
xiu dong 	秀動	c=3 d=0.305783 t=6133
xiu dou 	秀逗	c=1 d=1 t=6050
xiu gai 	修改	c=4 d=0.136014 t=6133
xiu kong tiao 	修空調	c=2 d=1.23513 t=6133
xiu xi 	休息	c=4 d=0.763379 t=6133
xu ni 	虛擬	c=0 d=0.1 t=3993
xu ni ding wei 	虛擬定位	c=1 d=1 t=3994
xu qiu 	需求	c=1 d=1 t=5581
xu yao 	需要	c=2 d=1.20393 t=4746
xu yuan 	許願	c=2 d=1.93239 t=5396
xuan 	軒	c=1 d=0.0614213 t=6133
xuan bu 	宣佈	c=1 d=1 t=2019
xuan ge 	軒哥	c=1 d=0.061729 t=6133
xue 	學	c=2 d=1.97045 t=2120
xue gao 	雪糕	c=1 d=1 t=4057
xue xi 	學習	c=1 d=0.56802 t=6133
xue yi 	學醫	c=1 d=1 t=5422
xun cha 	巡查	c=0 d=0.0404542 t=6133
xun geng 	巡更	c=2 d=1.70822 t=2659
xun hang 	巡航	c=1 d=1 t=2480
xun shi 	巡視	c=1 d=1 t=2570
xun xu jian jin 	循序漸進	c=1 d=0.00223168 t=6133
ya 	呀	c=2 d=0.755784 t=6133
ya li 	壓力	c=1 d=0.0115623 t=6133
ya si 	壓死	c=1 d=1 t=2169
ya suo bao 	壓縮包	c=2 d=1.9802 t=2831
ya yun 	押韻	c=1 d=1 t=4282
yan 	眼	c=0 d=0.1 t=4091
